"Mã hợp đồng","Tên hợp đồng","Mã hàng hoá","KL chào mua","Giá chào mua","KL đang chờ khớp mua","Giá chào bán","KL chào bán","KL chờ khớp bán","Giá khớp","KL khớp","Thay đổi","Thay đổi (%)","Giá mở cửa","Giá cao nhất","Giá thấp nhất","Giá đóng cửa","Giá đóng cửa phiên trước","Giá thanh toán","Bước giá tối thiểu","Giá hợp đồng","KL giao dịch","Ngày giờ cập nhật gần nhất"
"AHDD02Q24","Nhôm LME 02/08/24","LALZ","","","","","","","2235.5","","","","","","","","","2235.5","","","",""
"AHDD02U25","Nhôm LME 02/09/25","LALZ","","","","","","","2622","","","","","","","","","2618.5","","","",""
"AHDD02U26","Nhôm LME 02/09/26","LALZ","","","","","","","3118","","","","","","","","","3111.0","","","",""
"AHDD02V23","Nhôm LME 02/10/23","LALZ","","","","","","","2251","","","","","","","","","2248.5","","","",""
"AHDD02V24","Nhôm LME 02/10/24","LALZ","","","","","","","2615","","","","","","","","","2631.0","","","",""
"AHDD02V25","Nhôm LME 02/10/25","LALZ","","","","","","","2684.5","","","","","","","","","2679.0","","","",""
"AHDD02V26","Nhôm LME 02/10/26","LALZ","","","","","","","3121","","","","","","","","","3114.0","","","",""
"AHDD02X23","Nhôm LME 02/11/23","LALZ","","","","","","","2247","","","","","","","","","2240.0","","","",""
"AHDD02Z22","Nhôm LME 02/12/22","LALZ","","","","","","","2458","","","","","","","","","2447.5","","","",""
"AHDD02Z24","Nhôm LME 02/12/24","LALZ","","","","","","","2577.5","","","","","","","","","2572.5","","","",""
"AHDD02Z25","Nhôm LME 02/12/25","LALZ","","","","","","","2839","","","","","","","","","2842.0","","","",""
"AHDD03F23","Nhôm LME 03/01/23","LALZ","","","","","","","2375","","","","","","","","","2375.0","","","",""
"AHDD03F24","Nhôm LME 03/01/24","LALZ","","","","","","","2339","","","","","","","","","2345.5","","","",""
"AHDD03F25","Nhôm LME 03/01/25","LALZ","","","","","","","2527","","","","","","","","","2527.0","","","",""
"AHDD03G23","Nhôm LME 03/02/23","LALZ","","","","","","","2593.5","","","","","","","","","2597.0","","","",""
"AHDD03G25","Nhôm LME 03/02/25","LALZ","","","","","","","2625","","","","","","","","","2625.0","","","",""
"AHDD03G26","Nhôm LME 03/02/26","LALZ","","","","","","","3109","","","","","","","","","3117.5","","","",""
"AHDD03H23","Nhôm LME 03/03/23","LALZ","","","","","","","2374","","","","","","","","","2385.0","","","",""
"AHDD03H25","Nhôm LME 03/03/25","LALZ","","","","","","","2650","","","","","","","","","2649.0","","","",""
"AHDD03H26","Nhôm LME 03/03/26","LALZ","","","","","","","3129.5","","","","","","","","","3128.0","","","",""
"AHDD03J23","Nhôm LME 03/04/23","LALZ","","","","","","","2335.5","","","","","","","","","2344.0","","","",""
"AHDD03J24","Nhôm LME 03/04/24","LALZ","","","","","","","2306","","","","","","","","","2295.0","","","",""
"AHDD03J25","Nhôm LME 03/04/25","LALZ","","","","","","","2515.5","","","","","","","","","2518.0","","","",""
"AHDD03K23","Nhôm LME 03/05/23","LALZ","","","","","","","2369.5","","","","","","","","","2368.0","","","",""
"AHDD03K24","Nhôm LME 03/05/24","LALZ","","","","","","","2553","","","","","","","","","2553.5","","","",""
"AHDD03M24","Nhôm LME 03/06/24","LALZ","","","","","","","2659.5","","","","","","","","","2657.0","","","",""
"AHDD03M25","Nhôm LME 03/06/25","LALZ","","","","","","","2445","","","","","","","","","2438.0","","","",""
"AHDD03M26","Nhôm LME 03/06/26","LALZ","","","","","","","3828.5","","","","","","","","","3820.5","","","",""
"AHDD03N23","Nhôm LME 03/07/23","LALZ","","","","","","","2117.24","","","","","","","","","2119.5","","","",""
"AHDD03N24","Nhôm LME 03/07/24","LALZ","","","","","","","2473","","","","","","","","","2471.5","","","",""
"AHDD03N25","Nhôm LME 03/07/25","LALZ","","","","","","","2592","","","","","","","","","2597.5","","","",""
"AHDD03N26","Nhôm LME 03/07/26","LALZ","","","","","","","3057.5","","","","","","","","","3066.0","","","",""
"AHDD03Q23","Nhôm LME 03/08/23","LALZ","","","","","","","2211.5","","","","","","","","","2209.0","","","",""
"AHDD03Q26","Nhôm LME 03/08/26","LALZ","","","","","","","3127.5","","","","","","","","","3120.5","","","",""
"AHDD03U24","Nhôm LME 03/09/24","LALZ","","","","","","","2423.5","","","","","","","","","2423.5","","","",""
"AHDD03U25","Nhôm LME 03/09/25","LALZ","","","","","","","2618","","","","","","","","","2615.5","","","",""
"AHDD03U26","Nhôm LME 03/09/26","LALZ","","","","","","","3118","","","","","","","","","3111.0","","","",""
"AHDD03V23","Nhôm LME 03/10/23","LALZ","","","","","","","2332.5","","","","","","","","","2330.5","","","",""
"AHDD03V24","Nhôm LME 03/10/24","LALZ","","","","","","","2645","","","","","","","","","2639.5","","","",""
"AHDD03V25","Nhôm LME 03/10/25","LALZ","","","","","","","2680.5","","","","","","","","","2686.0","","","",""
"AHDD03X23","Nhôm LME 03/11/23","LALZ","","","","","","","2219.5","","","","","","","","","2217.0","","","",""
"AHDD03X25","Nhôm LME 03/11/25","LALZ","","","","","","","2863","","","","","","","","","2859.0","","","",""
"AHDD03Z24","Nhôm LME 03/12/24","LALZ","","","","","","","2587","","","","","","","","","2576.5","","","",""
"AHDD03Z25","Nhôm LME 03/12/25","LALZ","","","","","","","2863.5","","","","","","","","","2865.5","","","",""
"AHDD04F23","Nhôm LME 04/01/23","LALZ","","","","","","","2350","","","","","","","","","2349.5","","","",""
"AHDD04F24","Nhôm LME 04/01/24","LALZ","","","","","","","2293.5","","","","","","","","","2289.5","","","",""
"AHDD04F25","Nhôm LME 04/01/25","LALZ","","","","","","","","","","","","","","","","","","","",""
"AHDD04G25","Nhôm LME 04/02/25","LALZ","","","","","","","2592.24","","","","","","","","","2592.0","","","",""
"AHDD04G26","Nhôm LME 04/02/26","LALZ","","","","","","","3026","","","","","","","","","3033.5","","","",""
"AHDD04H24","Nhôm LME 04/03/24","LALZ","","","","","","","2190.5","","","","","","","","","2186.5","","","",""
"AHDD04H25","Nhôm LME 04/03/25","LALZ","","","","","","","2650","","","","","","","","","2649.0","","","",""
"AHDD04H26","Nhôm LME 04/03/26","LALZ","","","","","","","3208","","","","","","","","","3184.0","","","",""
"AHDD04J23","Nhôm LME 04/04/23","LALZ","","","","","","","2381.5","","","","","","","","","2377.0","","","",""
"AHDD04J24","Nhôm LME 04/04/24","LALZ","","","","","","","2338.5","","","","","","","","","2338.0","","","",""
"AHDD04J25","Nhôm LME 04/04/25","LALZ","","","","","","","2515","","","","","","","","","2517.5","","","",""
"AHDD04K23","Nhôm LME 04/05/23","LALZ","","","","","","","2376","","","","","","","","","2367.5","","","",""
"AHDD04M24","Nhôm LME 04/06/24","LALZ","","","","","","","2605.5","","","","","","","","","2607.0","","","",""
"AHDD04M25","Nhôm LME 04/06/25","LALZ","","","","","","","2468","","","","","","","","","2461.0","","","",""
"AHDD04M26","Nhôm LME 04/06/26","LALZ","","","","","","","3855","","","","","","","","","3850.5","","","",""
"AHDD04Q23","Nhôm LME 04/08/23","LALZ","","","","","","","2165.5","","","","","","","","","2159.0","","","",""
"AHDD04Q25","Nhôm LME 04/08/25","LALZ","","","","","","","2568","","","","","","","","","2562.5","","","",""
"AHDD04Q26","Nhôm LME 04/08/26","LALZ","","","","","","","3128.5","","","","","","","","","3121.5","","","",""
"AHDD04U24","Nhôm LME 04/09/24","LALZ","","","","","","","2410.5","","","","","","","","","2402.5","","","",""
"AHDD04U25","Nhôm LME 04/09/25","LALZ","","","","","","","2619.5","","","","","","","","","2624.5","","","",""
"AHDD04U26","Nhôm LME 04/09/26","LALZ","","","","","","","3118.5","","","","","","","","","3111.5","","","",""
"AHDD04V23","Nhôm LME 04/10/23","LALZ","","","","","","","2291","","","","","","","","","2293.0","","","",""
"AHDD04V24","Nhôm LME 04/10/24","LALZ","","","","","","","2678.5","","","","","","","","","2670.0","","","",""
"AHDD04X24","Nhôm LME 04/11/24","LALZ","","","","","","","2594.5","","","","","","","","","2591.5","","","",""
"AHDD04X25","Nhôm LME 04/11/25","LALZ","","","","","","","2882.5","","","","","","","","","2878.5","","","",""
"AHDD04Z23","Nhôm LME 04/12/23","LALZ","","","","","","","2158","","","","","","","","","2156.0","","","",""
"AHDD04Z24","Nhôm LME 04/12/24","LALZ","","","","","","","2563.5","","","","","","","","","2566.0","","","",""
"AHDD04Z25","Nhôm LME 04/12/25","LALZ","","","","","","","2835.5","","","","","","","","","2835.5","","","",""
"AHDD05F23","Nhôm LME 05/01/23","LALZ","","","","","","","2276","","","","","","","","","2275.5","","","",""
"AHDD05F24","Nhôm LME 05/01/24","LALZ","","","","","","","2264","","","","","","","","","2265.5","","","",""
"AHDD05F26","Nhôm LME 05/01/26","LALZ","","","","","","","2973.5","","","","","","","","","2968.0","","","",""
"AHDD05G24","Nhôm LME 05/02/24","LALZ","","","","","","","2200","","","","","","","","","2208.0","","","",""
"AHDD05G25","Nhôm LME 05/02/25","LALZ","","","","","","","2621","","","","","","","","","2629.5","","","",""
"AHDD05G26","Nhôm LME 05/02/26","LALZ","","","","","","","3073","","","","","","","","","3083.5","","","",""
"AHDD05H24","Nhôm LME 05/03/24","LALZ","","","","","","","2205","","","","","","","","","2207.0","","","",""
"AHDD05H25","Nhôm LME 05/03/25","LALZ","","","","","","","2628.5","","","","","","","","","2622.5","","","",""
"AHDD05H26","Nhôm LME 05/03/26","LALZ","","","","","","","3248.5","","","","","","","","","3255.5","","","",""
"AHDD05J23","Nhôm LME 05/04/23","LALZ","","","","","","","2360","","","","","","","","","2353.0","","","",""
"AHDD05J24","Nhôm LME 05/04/24","LALZ","","","","","","","2388.5","","","","","","","","","2388.0","","","",""
"AHDD05K23","Nhôm LME 05/05/23","LALZ","","","","","","","2315.5","","","","","","","","","2313.0","","","",""
"AHDD05K26","Nhôm LME 05/05/26","LALZ","","","","","","","3512","","","","","","","","","3530.0","","","",""
"AHDD05M23","Nhôm LME 05/06/23","LALZ","","","","","","","2310","","","","","","","","","2314.0","","","",""
"AHDD05M24","Nhôm LME 05/06/24","LALZ","","","","","","","2632.5","","","","","","","","","2619.5","","","",""
"AHDD05M25","Nhôm LME 05/06/25","LALZ","","","","","","","2464","","","","","","","","","2460.0","","","",""
"AHDD05M26","Nhôm LME 05/06/26","LALZ","","","","","","","3776.5","","","","","","","","","3771.5","","","",""
"AHDD05N23","Nhôm LME 05/07/23","LALZ","","","","","","","2107","","","","","","","","","2112.5","","","",""
"AHDD05N24","Nhôm LME 05/07/24","LALZ","","","","","","","2503","","","","","","","","","2499.0","","","",""
"AHDD05Q24","Nhôm LME 05/08/24","LALZ","","","","","","","2237","","","","","","","","","2237.5","","","",""
"AHDD05Q25","Nhôm LME 05/08/25","LALZ","","","","","","","2569","","","","","","","","","2563.5","","","",""
"AHDD05Q26","Nhôm LME 05/08/26","LALZ","","","","","","","3127","","","","","","","","","3120.0","","","",""
"AHDD05U23","Nhôm LME 05/09/23","LALZ","","","","","","","2189","","","","","","","","","2190.0","","","",""
"AHDD05U24","Nhôm LME 05/09/24","LALZ","","","","","","","2389.5","","","","","","","","","2386.5","","","",""
"AHDD05U25","Nhôm LME 05/09/25","LALZ","","","","","","","2621","","","","","","","","","2622.5","","","",""
"AHDD05V23","Nhôm LME 05/10/23","LALZ","","","","","","","2255","","","","","","","","","2255.0","","","",""
"AHDD05V26","Nhôm LME 05/10/26","LALZ","","","","","","","3122","","","","","","","","","3115.0","","","",""
"AHDD05X24","Nhôm LME 05/11/24","LALZ","","","","","","","2571.5","","","","","","","","","2570.5","","","",""
"AHDD05X25","Nhôm LME 05/11/25","LALZ","","","","","","","2904.5","","","","","","","","","2898.0","","","",""
"AHDD05Z22","Nhôm LME 05/12/22","LALZ","","","","","","","2441.5","","","","","","","","","2457.0","","","",""
"AHDD05Z23","Nhôm LME 05/12/23","LALZ","","","","","","","2177.5","","","","","","","","","2172.0","","","",""
"AHDD05Z24","Nhôm LME 05/12/24","LALZ","","","","","","","2576.5","","","","","","","","","2584.5","","","",""
"AHDD05Z25","Nhôm LME 05/12/25","LALZ","","","","","","","2849.5","","","","","","","","","2866.0","","","",""
"AHDD06F23","Nhôm LME 06/01/23","LALZ","","","","","","","2243.82","","","","","","","","","2232.0","","","",""
"AHDD06F25","Nhôm LME 06/01/25","LALZ","","","","","","","2504.5","","","","","","","","","2504.0","","","",""
"AHDD06F26","Nhôm LME 06/01/26","LALZ","","","","","","","2995","","","","","","","","","2990.5","","","",""
"AHDD06G23","Nhôm LME 06/02/23","LALZ","","","","","","","2579.5","","","","","","","","","2583.0","","","",""
"AHDD06G24","Nhôm LME 06/02/24","LALZ","","","","","","","2195","","","","","","","","","2196.5","","","",""
"AHDD06G25","Nhôm LME 06/02/25","LALZ","","","","","","","2655.5","","","","","","","","","2647.5","","","",""
"AHDD06G26","Nhôm LME 06/02/26","LALZ","","","","","","","3041","","","","","","","","","3042.0","","","",""
"AHDD06H23","Nhôm LME 06/03/23","LALZ","","","","","","","2360","","","","","","","","","2355.0","","","",""
"AHDD06H24","Nhôm LME 06/03/24","LALZ","","","","","","","2181.5","","","","","","","","","2193.5","","","",""
"AHDD06H25","Nhôm LME 06/03/25","LALZ","","","","","","","2635","","","","","","","","","2626.5","","","",""
"AHDD06H26","Nhôm LME 06/03/26","LALZ","","","","","","","3352","","","","","","","","","3344.5","","","",""
"AHDD06J23","Nhôm LME 06/04/23","LALZ","","","","","","","2330","","","","","","","","","2323.5","","","",""
"AHDD06K25","Nhôm LME 06/05/25","LALZ","","","","","","","2397.5","","","","","","","","","2395.0","","","",""
"AHDD06K26","Nhôm LME 06/05/26","LALZ","","","","","","","3568","","","","","","","","","3586.0","","","",""
"AHDD06M23","Nhôm LME 06/06/23","LALZ","","","","","","","2229.5","","","","","","","","","2234.0","","","",""
"AHDD06M24","Nhôm LME 06/06/24","LALZ","","","","","","","2618.5","","","","","","","","","2618.5","","","",""
"AHDD06M25","Nhôm LME 06/06/25","LALZ","","","","","","","2472.5","","","","","","","","","2475.5","","","",""
"AHDD06N23","Nhôm LME 06/07/23","LALZ","","","","","","","2124","","","","","","","","","2123.0","","","",""
"AHDD06N26","Nhôm LME 06/07/26","LALZ","","","","","","","3081.5","","","","","","","","","3082.0","","","",""
"AHDD06Q24","Nhôm LME 06/08/24","LALZ","","","","","","","2214.5","","","","","","","","","2202.5","","","",""
"AHDD06Q25","Nhôm LME 06/08/25","LALZ","","","","","","","2555","","","","","","","","","2552.5","","","",""
"AHDD06Q26","Nhôm LME 06/08/26","LALZ","","","","","","","3126","","","","","","","","","3119.0","","","",""
"AHDD06U23","Nhôm LME 06/09/23","LALZ","","","","","","","2163","","","","","","","","","2163.5","","","",""
"AHDD06U24","Nhôm LME 06/09/24","LALZ","","","","","","","2374.5","","","","","","","","","2375.0","","","",""
"AHDD06V23","Nhôm LME 06/10/23","LALZ","","","","","","","2212","","","","","","","","","2209.5","","","",""
"AHDD06V25","Nhôm LME 06/10/25","LALZ","","","","","","","2679.5","","","","","","","","","2687.0","","","",""
"AHDD06V26","Nhôm LME 06/10/26","LALZ","","","","","","","3122.5","","","","","","","","","3115.5","","","",""
"AHDD06X23","Nhôm LME 06/11/23","LALZ","","","","","","","2203","","","","","","","","","2204.5","","","",""
"AHDD06X24","Nhôm LME 06/11/24","LALZ","","","","","","","2584.5","","","","","","","","","2585.5","","","",""
"AHDD06X25","Nhôm LME 06/11/25","LALZ","","","","","","","2848","","","","","","","","","2852.5","","","",""
"AHDD06Z22","Nhôm LME 06/12/22","LALZ","","","","","","","2509","","","","","","","","","2517.5","","","",""
"AHDD06Z23","Nhôm LME 06/12/23","LALZ","","","","","","","2132.5","","","","","","","","","2140.0","","","",""
"AHDD06Z24","Nhôm LME 06/12/24","LALZ","","","","","","","2577.5","","","","","","","","","2585.5","","","",""
"AHDD07F25","Nhôm LME 07/01/25","LALZ","","","","","","","2505.5","","","","","","","","","2505.0","","","",""
"AHDD07F26","Nhôm LME 07/01/26","LALZ","","","","","","","3062.5","","","","","","","","","3058.0","","","",""
"AHDD07G23","Nhôm LME 07/02/23","LALZ","","","","","","","2544.5","","","","","","","","","2534.5","","","",""
"AHDD07G24","Nhôm LME 07/02/24","LALZ","","","","","","","2174.5","","","","","","","","","2175.0","","","",""
"AHDD07G25","Nhôm LME 07/02/25","LALZ","","","","","","","2625","","","","","","","","","2619.0","","","",""
"AHDD07H23","Nhôm LME 07/03/23","LALZ","","","","","","","2359","","","","","","","","","2361.0","","","",""
"AHDD07H24","Nhôm LME 07/03/24","LALZ","","","","","","","2185.5","","","","","","","","","2186.5","","","",""
"AHDD07H25","Nhôm LME 07/03/25","LALZ","","","","","","","2672","","","","","","","","","2666.0","","","",""
"AHDD07J25","Nhôm LME 07/04/25","LALZ","","","","","","","2513.5","","","","","","","","","2516.0","","","",""
"AHDD07J26","Nhôm LME 07/04/26","LALZ","","","","","","","3592","","","","","","","","","3596.0","","","",""
"AHDD07K24","Nhôm LME 07/05/24","LALZ","","","","","","","2492","","","","","","","","","2493.0","","","",""
"AHDD07K25","Nhôm LME 07/05/25","LALZ","","","","","","","2411.5","","","","","","","","","2409.0","","","",""
"AHDD07K26","Nhôm LME 07/05/26","LALZ","","","","","","","3667","","","","","","","","","3652.0","","","",""
"AHDD07M23","Nhôm LME 07/06/23","LALZ","","","","","","","2196","","","","","","","","","2202.0","","","",""
"AHDD07M24","Nhôm LME 07/06/24","LALZ","","","","","","","2568","","","","","","","","","2570.0","","","",""
"AHDD07N23","Nhôm LME 07/07/23","LALZ","","","","","","","2092.5","","","","","","","","","2097.0","","","",""
"AHDD07N25","Nhôm LME 7/25","LALZ","","","","","","","2601","","","","","","","","","2599.0","","","",""
"AHDD07N26","Nhôm LME 07/07/26","LALZ","","","","","","","3081","","","","","","","","","3083.5","","","",""
"AHDD07Q23","Nhôm LME 07/08/23","LALZ","","","","","","","2177","","","","","","","","","2180.0","","","",""
"AHDD07Q24","Nhôm LME 07/08/24","LALZ","","","","","","","2193","","","","","","","","","2188.0","","","",""
"AHDD07Q25","Nhôm LME 07/08/25","LALZ","","","","","","","2575","","","","","","","","","2562.5","","","",""
"AHDD07Q26","Nhôm LME 07/08/26","LALZ","","","","","","","3125","","","","","","","","","3118.0","","","",""
"AHDD07U23","Nhôm LME 07/09/23","LALZ","","","","","","","2144.5","","","","","","","","","2144.0","","","",""
"AHDD07V24","Nhôm LME 07/10/24","LALZ","","","","","","","2629","","","","","","","","","2618.5","","","",""
"AHDD07V25","Nhôm LME 07/10/25","LALZ","","","","","","","2698","","","","","","","","","2705.5","","","",""
"AHDD07V26","Nhôm LME 07/10/26","LALZ","","","","","","","3122.5","","","","","","","","","","","","",""
"AHDD07X22","Nhôm LME 07/11/22","LALZ","","","","","","","2253","","","","","","","","","2251.0","","","",""
"AHDD07X23","Nhôm LME 07/11/23","LALZ","","","","","","","2246","","","","","","","","","2234.0","","","",""
"AHDD07X24","Nhôm LME 07/11/24","LALZ","","","","","","","2624","","","","","","","","","2624.5","","","",""
"AHDD07X25","Nhôm LME 07/11/25","LALZ","","","","","","","2841","","","","","","","","","2842.5","","","",""
"AHDD07Z22","Nhôm LME 07/12/22","LALZ","","","","","","","2509","","","","","","","","","2491.5","","","",""
"AHDD07Z23","Nhôm LME 07/12/23","LALZ","","","","","","","2120","","","","","","","","","2121.5","","","",""
"AHDD08F24","Nhôm LME 08/01/24","LALZ","","","","","","","2235","","","","","","","","","2234.5","","","",""
"AHDD08F25","Nhôm LME 08/01/25","LALZ","","","","","","","2506.5","","","","","","","","","2506.0","","","",""
"AHDD08F26","Nhôm LME 08/01/26","LALZ","","","","","","","3101.5","","","","","","","","","3106.5","","","",""
"AHDD08G23","Nhôm LME 08/02/23","LALZ","","","","","","","2504.5","","","","","","","","","2498.0","","","",""
"AHDD08G24","Nhôm LME 08/02/24","LALZ","","","","","","","2197.5","","","","","","","","","2196.0","","","",""
"AHDD08H23","Nhôm LME 08/03/23","LALZ","","","","","","","2342","","","","","","","","","2334.0","","","",""
"AHDD08H24","Nhôm LME 08/03/24","LALZ","","","","","","","2187","","","","","","","","","2191.0","","","",""
"AHDD08J24","Nhôm LME 08/04/24","LALZ","","","","","","","2404.5","","","","","","","","","2405.5","","","",""
"AHDD08J25","Nhôm LME 08/04/25","LALZ","","","","","","","2514.5","","","","","","","","","2517.0","","","",""
"AHDD08J26","Nhôm LME 08/04/26","LALZ","","","","","","","3535.5","","","","","","","","","3539.5","","","",""
"AHDD08K23","Nhôm LME 08/05/23","LALZ","","","","","","","","","","","","","","","","","","","",""
"AHDD08K24","Nhôm LME 08/05/24","LALZ","","","","","","","2507","","","","","","","","","2511.0","","","",""
"AHDD08K25","Nhôm LME 08/05/25","LALZ","","","","","","","2399.5","","","","","","","","","2401.5","","","",""
"AHDD08K26","Nhôm LME 08/05/26","LALZ","","","","","","","3571.5","","","","","","","","","3574.5","","","",""
"AHDD08M23","Nhôm LME 08/06/23","LALZ","","","","","","","2174.5","","","","","","","","","2165.5","","","",""
"AHDD08M26","Nhôm LME 08/06/26","LALZ","","","","","","","3749.5","","","","","","","","","3738.0","","","",""
"AHDD08N24","Nhôm LME 08/07/24","LALZ","","","","","","","2471","","","","","","","","","2473.5","","","",""
"AHDD08N25","Nhôm LME 08/07/25","LALZ","","","","","","","2588.5","","","","","","","","","2586.5","","","",""
"AHDD08N26","Nhôm LME 08/07/26","LALZ","","","","","","","3113","","","","","","","","","3106.0","","","",""
"AHDD08Q23","Nhôm LME 08/08/23","LALZ","","","","","","","2180.5","","","","","","","","","2183.0","","","",""
"AHDD08Q24","Nhôm LME 08/08/24","LALZ","","","","","","","2219","","","","","","","","","2234.0","","","",""
"AHDD08Q25","Nhôm LME 08/08/25","LALZ","","","","","","","2610","","","","","","","","","2609.5","","","",""
"AHDD08U23","Nhôm LME 08/09/23","LALZ","","","","","","","2145.5","","","","","","","","","2148.0","","","",""
